user_id,follows_subject
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
91736511,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
563136381,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
410276577,1017280993
1377190574,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
1400019432,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
55252716,1017280993
21186156,1017280993
-2147483648,1017280993
149824990,1017280993
-2147483648,1017280993
62770881,1017280993
475735232,1017280993
-2147483648,1017280993
1943315402,1017280993
-2147483648,1017280993
15787722,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
626736079,1017280993
262163776,1017280993
232985582,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
238738175,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
117964344,1017280993
198816886,1017280993
9688782,1017280993
-2147483648,1017280993
182878105,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
1090911253,1017280993
432338788,1017280993
-2147483648,1017280993
30129303,1017280993
631511940,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
84448137,1017280993
340547731,1017280993
-2147483648,1017280993
307917365,1017280993
-2147483648,1017280993
-2147483648,1017280993
245506150,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
-2147483648,1017280993
268417082,1017280993
302742432,1017280993
-2147483648,1017280993
1650305988,1017280993
-2147483648,1017280993
-2147483648,1017280993
338990800,1017280993
77982775,1017280993
312028960,1017280993
